0.00.315.731 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.318.358 I srv    load_model: loading model '/home/quinna/models/Ornith-1.0-35B-GGUF/ornith-1.0-35b-Q4_K_M.gguf'
0.12.069.506 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 131072, kv_unified = 'true'
0.12.086.387 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.12.086.426 I srv  llama_server: model loaded
0.12.086.430 I srv  llama_server: listening on http://127.0.0.1:8091
1.52.437.259 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
8.17.779.496 I slot print_timing: id  3 | task 19490 | n_decoded =   3263, tg =  63.82 t/s, tg_3s =  63.30 t/s
8.20.788.354 I slot print_timing: id  3 | task 19490 | n_decoded =   3453, tg =  63.78 t/s, tg_3s =  63.15 t/s
8.23.805.707 I slot print_timing: id  3 | task 19490 | n_decoded =   3644, tg =  63.76 t/s, tg_3s =  63.30 t/s
8.26.819.014 I slot print_timing: id  3 | task 19490 | n_decoded =   3834, tg =  63.72 t/s, tg_3s =  63.05 t/s
8.29.824.308 I slot print_timing: id  3 | task 19490 | n_decoded =   4023, tg =  63.68 t/s, tg_3s =  62.89 t/s
8.32.829.894 I slot print_timing: id  3 | task 19490 | n_decoded =   4212, tg =  63.64 t/s, tg_3s =  62.88 t/s
8.35.845.770 I slot print_timing: id  3 | task 19490 | n_decoded =   4402, tg =  63.62 t/s, tg_3s =  63.00 t/s
8.38.846.407 I slot print_timing: id  3 | task 19490 | n_decoded =   4590, tg =  63.58 t/s, tg_3s =  62.65 t/s
8.41.847.216 I slot print_timing: id  3 | task 19490 | n_decoded =   4778, tg =  63.54 t/s, tg_3s =  62.65 t/s
8.44.857.767 I slot print_timing: id  3 | task 19490 | n_decoded =   4966, tg =  63.50 t/s, tg_3s =  62.45 t/s
8.47.869.099 I slot print_timing: id  3 | task 19490 | n_decoded =   5155, tg =  63.47 t/s, tg_3s =  62.76 t/s
8.50.877.308 I slot print_timing: id  3 | task 19490 | n_decoded =   5343, tg =  63.44 t/s, tg_3s =  62.50 t/s
8.53.889.753 I slot print_timing: id  3 | task 19490 | n_decoded =   5531, tg =  63.40 t/s, tg_3s =  62.41 t/s
8.56.890.221 I slot print_timing: id  3 | task 19490 | n_decoded =   5718, tg =  63.36 t/s, tg_3s =  62.32 t/s
8.59.899.641 I slot print_timing: id  3 | task 19490 | n_decoded =   5906, tg =  63.34 t/s, tg_3s =  62.47 t/s
9.02.909.071 I slot print_timing: id  3 | task 19490 | n_decoded =   6093, tg =  63.30 t/s, tg_3s =  62.14 t/s
9.05.913.303 I slot print_timing: id  3 | task 19490 | n_decoded =   6280, tg =  63.27 t/s, tg_3s =  62.25 t/s
9.08.927.337 I slot print_timing: id  3 | task 19490 | n_decoded =   6467, tg =  63.23 t/s, tg_3s =  62.04 t/s
9.11.934.893 I slot print_timing: id  3 | task 19490 | n_decoded =   6654, tg =  63.20 t/s, tg_3s =  62.18 t/s
9.14.940.983 I slot print_timing: id  3 | task 19490 | n_decoded =   6840, tg =  63.16 t/s, tg_3s =  61.87 t/s
9.17.950.254 I slot print_timing: id  3 | task 19490 | n_decoded =   7026, tg =  63.13 t/s, tg_3s =  61.81 t/s
9.20.957.847 I slot print_timing: id  3 | task 19490 | n_decoded =   7212, tg =  63.09 t/s, tg_3s =  61.84 t/s
9.23.962.683 I slot print_timing: id  3 | task 19490 | n_decoded =   7397, tg =  63.05 t/s, tg_3s =  61.57 t/s
9.26.963.635 I slot print_timing: id  3 | task 19490 | n_decoded =   7582, tg =  63.02 t/s, tg_3s =  61.65 t/s
9.29.967.060 I slot print_timing: id  3 | task 19490 | n_decoded =   7767, tg =  62.98 t/s, tg_3s =  61.60 t/s
9.32.967.638 I slot print_timing: id  3 | task 19490 | n_decoded =   7952, tg =  62.95 t/s, tg_3s =  61.65 t/s
9.35.976.417 I slot print_timing: id  3 | task 19490 | n_decoded =   8137, tg =  62.92 t/s, tg_3s =  61.49 t/s
9.36.868.072 I slot print_timing: id  3 | task 19490 | prompt eval time =    1632.78 ms /  2463 tokens (    0.66 ms per token,  1508.47 tokens per second)
9.36.868.075 I slot print_timing: id  3 | task 19490 |        eval time =  130218.21 ms /  8192 tokens (   15.90 ms per token,    62.91 tokens per second)
9.36.868.075 I slot print_timing: id  3 | task 19490 |       total time =  131850.99 ms / 10655 tokens
9.36.868.076 I slot print_timing: id  3 | task 19490 |    graphs reused =      27464
9.36.868.809 I slot      release: id  3 | task 19490 | stop processing: n_tokens = 46022, truncated = 0
9.36.938.436 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.999 (> 0.100 thold), f_keep = 0.822
9.36.938.934 I slot launch_slot_: id  3 | task 27686 | processing task, is_child = 0
9.40.137.018 I slot print_timing: id  3 | task 27686 | n_decoded =    193, tg =  64.13 t/s, tg_3s =  64.13 t/s
9.43.150.450 I slot print_timing: id  3 | task 27686 | n_decoded =    386, tg =  64.09 t/s, tg_3s =  64.05 t/s
9.46.159.667 I slot print_timing: id  3 | task 27686 | n_decoded =    578, tg =  63.99 t/s, tg_3s =  63.80 t/s
9.49.160.597 I slot print_timing: id  3 | task 27686 | n_decoded =    769, tg =  63.91 t/s, tg_3s =  63.65 t/s
9.52.163.718 I slot print_timing: id  3 | task 27686 | n_decoded =    960, tg =  63.85 t/s, tg_3s =  63.60 t/s
9.55.169.225 I slot print_timing: id  3 | task 27686 | n_decoded =   1151, tg =  63.80 t/s, tg_3s =  63.55 t/s
9.58.171.650 I slot print_timing: id  3 | task 27686 | n_decoded =   1342, tg =  63.77 t/s, tg_3s =  63.62 t/s
10.01.183.681 I slot print_timing: id  3 | task 27686 | n_decoded =   1533, tg =  63.73 t/s, tg_3s =  63.41 t/s
10.04.187.145 I slot print_timing: id  3 | task 27686 | n_decoded =   1723, tg =  63.67 t/s, tg_3s =  63.26 t/s
10.07.191.748 I slot print_timing: id  3 | task 27686 | n_decoded =   1913, tg =  63.63 t/s, tg_3s =  63.24 t/s
10.10.192.194 I slot print_timing: id  3 | task 27686 | n_decoded =   2103, tg =  63.60 t/s, tg_3s =  63.32 t/s
10.13.199.674 I slot print_timing: id  3 | task 27686 | n_decoded =   2293, tg =  63.57 t/s, tg_3s =  63.18 t/s
10.16.212.564 I slot print_timing: id  3 | task 27686 | n_decoded =   2483, tg =  63.53 t/s, tg_3s =  63.06 t/s
10.19.220.050 I slot print_timing: id  3 | task 27686 | n_decoded =   2673, tg =  63.50 t/s, tg_3s =  63.18 t/s
10.22.229.666 I slot print_timing: id  3 | task 27686 | n_decoded =   2863, tg =  63.48 t/s, tg_3s =  63.13 t/s
10.25.243.513 I slot print_timing: id  3 | task 27686 | n_decoded =   3054, tg =  63.47 t/s, tg_3s =  63.37 t/s
10.28.255.762 I slot print_timing: id  3 | task 27686 | n_decoded =   3244, tg =  63.45 t/s, tg_3s =  63.08 t/s
10.31.256.121 I slot print_timing: id  3 | task 27686 | n_decoded =   3433, tg =  63.42 t/s, tg_3s =  62.99 t/s
10.32.433.661 I slot print_timing: id  3 | task 27686 | prompt eval time =     188.36 ms /    69 tokens (    2.73 ms per token,   366.32 tokens per second)
10.32.433.666 I slot print_timing: id  3 | task 27686 |        eval time =   55306.01 ms /  3507 tokens (   15.77 ms per token,    63.41 tokens per second)
10.32.433.666 I slot print_timing: id  3 | task 27686 |       total time =   55494.36 ms /  3576 tokens
10.32.433.667 I slot print_timing: id  3 | task 27686 |    graphs reused =      30955
10.32.434.414 I slot      release: id  3 | task 27686 | stop processing: n_tokens = 41387, truncated = 0
10.32.537.172 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.915 (> 0.100 thold), f_keep = 0.915
10.32.537.553 I slot launch_slot_: id  3 | task 31196 | processing task, is_child = 0
10.36.573.802 I slot print_timing: id  3 | task 31196 | prompt eval time =    2554.32 ms /  3570 tokens (    0.72 ms per token,  1397.63 tokens per second)
10.36.573.807 I slot print_timing: id  3 | task 31196 |        eval time =    1481.70 ms /    94 tokens (   15.76 ms per token,    63.44 tokens per second)
10.36.573.807 I slot print_timing: id  3 | task 31196 |       total time =    4036.02 ms /  3664 tokens
10.36.573.808 I slot print_timing: id  3 | task 31196 |    graphs reused =      31046
10.36.574.612 I slot      release: id  3 | task 31196 | stop processing: n_tokens = 41489, truncated = 0
10.36.653.605 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.979 (> 0.100 thold), f_keep = 0.998
10.36.653.969 I slot launch_slot_: id  3 | task 31295 | processing task, is_child = 0
10.38.583.303 I slot print_timing: id  3 | task 31295 | prompt eval time =     873.71 ms /   908 tokens (    0.96 ms per token,  1039.25 tokens per second)
10.38.583.306 I slot print_timing: id  3 | task 31295 |        eval time =    1055.39 ms /    67 tokens (   15.75 ms per token,    63.48 tokens per second)
10.38.583.306 I slot print_timing: id  3 | task 31295 |       total time =    1929.10 ms /   975 tokens
10.38.583.307 I slot print_timing: id  3 | task 31295 |    graphs reused =      31111
10.38.584.090 I slot      release: id  3 | task 31295 | stop processing: n_tokens = 42342, truncated = 0
10.38.666.660 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.953 (> 0.100 thold), f_keep = 0.998
10.38.667.000 I slot launch_slot_: id  3 | task 31366 | processing task, is_child = 0
10.41.769.305 I slot print_timing: id  3 | task 31366 | prompt eval time =    2020.05 ms /  2882 tokens (    0.70 ms per token,  1426.70 tokens per second)
10.41.769.308 I slot print_timing: id  3 | task 31366 |        eval time =    1082.01 ms /    68 tokens (   15.91 ms per token,    62.85 tokens per second)
10.41.769.309 I slot print_timing: id  3 | task 31366 |       total time =    3102.06 ms /  2950 tokens
10.41.769.310 I slot print_timing: id  3 | task 31366 |    graphs reused =      31177
10.41.770.151 I slot      release: id  3 | task 31366 | stop processing: n_tokens = 44420, truncated = 0
10.41.876.942 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.998 (> 0.100 thold), f_keep = 0.998
10.41.877.398 I slot launch_slot_: id  3 | task 31438 | processing task, is_child = 0
10.46.402.231 I slot print_timing: id  3 | task 31438 | n_decoded =    187, tg =  62.20 t/s, tg_3s =  62.20 t/s
10.49.411.893 I slot print_timing: id  3 | task 31438 | n_decoded =    373, tg =  62.00 t/s, tg_3s =  61.80 t/s
10.50.449.843 I slot print_timing: id  3 | task 31438 | prompt eval time =    1518.22 ms /  2132 tokens (    0.71 ms per token,  1404.28 tokens per second)
10.50.449.845 I slot print_timing: id  3 | task 31438 |        eval time =    7053.99 ms /   437 tokens (   16.14 ms per token,    61.95 tokens per second)
10.50.449.846 I slot print_timing: id  3 | task 31438 |       total time =    8572.21 ms /  2569 tokens
10.50.449.847 I slot print_timing: id  3 | task 31438 |    graphs reused =      31610
10.50.450.667 I slot      release: id  3 | task 31438 | stop processing: n_tokens = 44874, truncated = 0
10.50.558.824 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.994 (> 0.100 thold), f_keep = 0.990
10.50.559.170 I slot launch_slot_: id  3 | task 31879 | processing task, is_child = 0
10.53.933.135 I slot print_timing: id  3 | task 31879 | n_decoded =    187, tg =  62.08 t/s, tg_3s =  62.08 t/s
10.56.946.044 I slot print_timing: id  3 | task 31879 | n_decoded =    373, tg =  61.90 t/s, tg_3s =  61.73 t/s
10.59.955.739 I slot print_timing: id  3 | task 31879 | n_decoded =    559, tg =  61.87 t/s, tg_3s =  61.80 t/s
11.02.960.441 I slot print_timing: id  3 | task 31879 | n_decoded =    744, tg =  61.80 t/s, tg_3s =  61.57 t/s
11.05.965.174 I slot print_timing: id  3 | task 31879 | n_decoded =    929, tg =  61.75 t/s, tg_3s =  61.57 t/s
11.08.966.895 I slot print_timing: id  3 | task 31879 | n_decoded =   1114, tg =  61.73 t/s, tg_3s =  61.63 t/s
11.11.974.565 I slot print_timing: id  3 | task 31879 | n_decoded =   1299, tg =  61.70 t/s, tg_3s =  61.51 t/s
11.14.979.552 I slot print_timing: id  3 | task 31879 | n_decoded =   1483, tg =  61.64 t/s, tg_3s =  61.23 t/s
11.17.988.004 I slot print_timing: id  3 | task 31879 | n_decoded =   1667, tg =  61.59 t/s, tg_3s =  61.16 t/s
11.20.177.026 I slot print_timing: id  3 | task 31879 | prompt eval time =     361.25 ms /   326 tokens (    1.11 ms per token,   902.43 tokens per second)
11.20.177.029 I slot print_timing: id  3 | task 31879 |        eval time =   29256.36 ms /  1801 tokens (   16.24 ms per token,    61.56 tokens per second)
11.20.177.030 I slot print_timing: id  3 | task 31879 |       total time =   29617.61 ms /  2127 tokens
11.20.177.031 I slot print_timing: id  3 | task 31879 |    graphs reused =      33402
11.20.177.824 I slot      release: id  3 | task 31879 | stop processing: n_tokens = 46523, truncated = 0
14.30.757.724 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.580 (> 0.100 thold), f_keep = 0.027
14.31.172.896 I slot launch_slot_: id  3 | task 33683 | processing task, is_child = 0
14.32.425.771 I slot print_timing: id  3 | task 33683 | prompt eval time =     625.46 ms /   919 tokens (    0.68 ms per token,  1469.31 tokens per second)
14.32.425.776 I slot print_timing: id  3 | task 33683 |        eval time =     627.18 ms /    51 tokens (   12.30 ms per token,    81.32 tokens per second)
14.32.425.777 I slot print_timing: id  3 | task 33683 |       total time =    1252.64 ms /   970 tokens
14.32.425.778 I slot print_timing: id  3 | task 33683 |    graphs reused =      33451
14.32.425.910 I slot      release: id  3 | task 33683 | stop processing: n_tokens = 2221, truncated = 0
14.32.447.586 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.947 (> 0.100 thold), f_keep = 0.977
14.32.447.899 I slot launch_slot_: id  3 | task 33737 | processing task, is_child = 0
14.34.809.202 I slot print_timing: id  3 | task 33737 | prompt eval time =     617.75 ms /  1040 tokens (    0.59 ms per token,  1683.52 tokens per second)
14.34.809.206 I slot print_timing: id  3 | task 33737 |        eval time =    1743.38 ms /   140 tokens (   12.45 ms per token,    80.30 tokens per second)
14.34.809.206 I slot print_timing: id  3 | task 33737 |       total time =    2361.13 ms /  1180 tokens
14.34.809.207 I slot print_timing: id  3 | task 33737 |    graphs reused =      33588
14.34.809.339 I slot      release: id  3 | task 33737 | stop processing: n_tokens = 2431, truncated = 0
14.34.836.961 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.303 (> 0.100 thold), f_keep = 0.942
14.34.837.486 I slot launch_slot_: id  3 | task 33881 | processing task, is_child = 0
14.39.872.732 I slot print_timing: id  3 | task 33881 | prompt eval time =    2770.63 ms /  5349 tokens (    0.52 ms per token,  1930.61 tokens per second)
14.39.872.735 I slot print_timing: id  3 | task 33881 |        eval time =    2264.42 ms /   176 tokens (   12.87 ms per token,    77.72 tokens per second)
14.39.872.736 I slot print_timing: id  3 | task 33881 |       total time =    5035.05 ms /  5525 tokens
14.39.872.737 I slot print_timing: id  3 | task 33881 |    graphs reused =      33761
14.39.873.006 I slot      release: id  3 | task 33881 | stop processing: n_tokens = 7733, truncated = 0
14.39.912.968 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.364 (> 0.100 thold), f_keep = 0.977
14.39.913.472 I slot launch_slot_: id  3 | task 34063 | processing task, is_child = 0
14.43.535.474 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =   7341, progress = 0.47, t =   3.62 s / 2026.89 tokens per second
14.44.594.087 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =   9389, progress = 0.57, t =   4.68 s / 2006.01 tokens per second
14.45.670.556 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =  11437, progress = 0.67, t =   5.76 s / 1986.66 tokens per second
14.46.766.601 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =  13485, progress = 0.77, t =   6.85 s / 1967.77 tokens per second
14.47.861.125 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =  15533, progress = 0.86, t =   7.95 s / 1954.46 tokens per second
14.48.970.282 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =  17581, progress = 0.96, t =   9.06 s / 1941.23 tokens per second
14.49.199.395 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =  17846, progress = 0.98, t =   9.29 s / 1921.87 tokens per second
14.49.457.920 I slot print_timing: id  3 | task 34063 | prompt processing, n_tokens =  18358, progress = 1.00, t =   9.54 s / 1923.46 tokens per second
14.52.282.510 I slot print_timing: id  3 | task 34063 | prompt eval time =    9678.44 ms / 18362 tokens (    0.53 ms per token,  1897.21 tokens per second)
14.52.282.513 I slot print_timing: id  3 | task 34063 |        eval time =    2690.40 ms /   193 tokens (   13.94 ms per token,    71.74 tokens per second)
14.52.282.513 I slot print_timing: id  3 | task 34063 |       total time =   12368.85 ms / 18555 tokens
14.52.282.515 I slot print_timing: id  3 | task 34063 |    graphs reused =      33952
14.52.282.943 I slot      release: id  3 | task 34063 | stop processing: n_tokens = 20967, truncated = 0
14.52.326.249 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.871 (> 0.100 thold), f_keep = 0.991
14.52.326.598 I slot launch_slot_: id  3 | task 34268 | processing task, is_child = 0
14.56.338.529 I slot print_timing: id  3 | task 34268 | prompt eval time =    2092.83 ms /  3604 tokens (    0.58 ms per token,  1722.07 tokens per second)
14.56.338.532 I slot print_timing: id  3 | task 34268 |        eval time =    1918.90 ms /   135 tokens (   14.21 ms per token,    70.35 tokens per second)
14.56.338.533 I slot print_timing: id  3 | task 34268 |       total time =    4011.72 ms /  3739 tokens
14.56.338.534 I slot print_timing: id  3 | task 34268 |    graphs reused =      34085
14.56.339.036 I slot      release: id  3 | task 34268 | stop processing: n_tokens = 23997, truncated = 0
14.56.462.671 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.988 (> 0.100 thold), f_keep = 0.994
14.56.463.125 I slot launch_slot_: id  3 | task 34408 | processing task, is_child = 0
15.01.439.281 I slot print_timing: id  3 | task 34408 | n_decoded =    211, tg =  70.15 t/s, tg_3s =  70.15 t/s
15.04.447.480 I slot print_timing: id  3 | task 34408 | n_decoded =    422, tg =  70.14 t/s, tg_3s =  70.14 t/s
15.07.455.780 I slot print_timing: id  3 | task 34408 | n_decoded =    632, tg =  70.03 t/s, tg_3s =  69.81 t/s
15.10.466.119 I slot print_timing: id  3 | task 34408 | n_decoded =    842, tg =  69.96 t/s, tg_3s =  69.76 t/s
15.13.472.528 I slot print_timing: id  3 | task 34408 | n_decoded =   1051, tg =  69.87 t/s, tg_3s =  69.52 t/s
15.16.483.954 I slot print_timing: id  3 | task 34408 | n_decoded =   1260, tg =  69.80 t/s, tg_3s =  69.40 t/s
15.19.484.607 I slot print_timing: id  3 | task 34408 | n_decoded =   1467, tg =  69.68 t/s, tg_3s =  68.99 t/s
15.22.488.452 I slot print_timing: id  3 | task 34408 | n_decoded =   1675, tg =  69.63 t/s, tg_3s =  69.24 t/s
15.25.502.831 I slot print_timing: id  3 | task 34408 | n_decoded =   1884, tg =  69.59 t/s, tg_3s =  69.33 t/s
15.28.503.473 I slot print_timing: id  3 | task 34408 | n_decoded =   2091, tg =  69.53 t/s, tg_3s =  68.99 t/s
15.31.511.141 I slot print_timing: id  3 | task 34408 | n_decoded =   2299, tg =  69.50 t/s, tg_3s =  69.16 t/s
15.34.525.109 I slot print_timing: id  3 | task 34408 | n_decoded =   2507, tg =  69.46 t/s, tg_3s =  69.01 t/s
15.37.535.751 I slot print_timing: id  3 | task 34408 | n_decoded =   2715, tg =  69.43 t/s, tg_3s =  69.09 t/s
15.40.547.858 I slot print_timing: id  3 | task 34408 | n_decoded =   2922, tg =  69.38 t/s, tg_3s =  68.72 t/s
15.43.562.542 I slot print_timing: id  3 | task 34408 | n_decoded =   3129, tg =  69.33 t/s, tg_3s =  68.66 t/s
15.46.574.939 I slot print_timing: id  3 | task 34408 | n_decoded =   3336, tg =  69.29 t/s, tg_3s =  68.72 t/s
15.49.575.019 I slot print_timing: id  3 | task 34408 | n_decoded =   3542, tg =  69.26 t/s, tg_3s =  68.66 t/s
15.52.583.617 I slot print_timing: id  3 | task 34408 | n_decoded =   3748, tg =  69.21 t/s, tg_3s =  68.47 t/s
15.55.588.514 I slot print_timing: id  3 | task 34408 | n_decoded =   3953, tg =  69.16 t/s, tg_3s =  68.22 t/s
15.58.601.193 I slot print_timing: id  3 | task 34408 | n_decoded =   4159, tg =  69.12 t/s, tg_3s =  68.38 t/s
16.01.608.826 I slot print_timing: id  3 | task 34408 | n_decoded =   4364, tg =  69.08 t/s, tg_3s =  68.16 t/s
16.04.622.671 I slot print_timing: id  3 | task 34408 | n_decoded =   4569, tg =  69.03 t/s, tg_3s =  68.02 t/s
16.07.628.117 I slot print_timing: id  3 | task 34408 | n_decoded =   4773, tg =  68.98 t/s, tg_3s =  67.88 t/s
16.10.628.255 I slot print_timing: id  3 | task 34408 | n_decoded =   4977, tg =  68.94 t/s, tg_3s =  68.00 t/s
16.13.634.221 I slot print_timing: id  3 | task 34408 | n_decoded =   5181, tg =  68.89 t/s, tg_3s =  67.87 t/s
16.16.639.913 I slot print_timing: id  3 | task 34408 | n_decoded =   5384, tg =  68.84 t/s, tg_3s =  67.54 t/s
16.19.643.710 I slot print_timing: id  3 | task 34408 | n_decoded =   5587, tg =  68.79 t/s, tg_3s =  67.58 t/s
16.22.644.840 I slot print_timing: id  3 | task 34408 | n_decoded =   5790, tg =  68.75 t/s, tg_3s =  67.64 t/s
16.25.652.213 I slot print_timing: id  3 | task 34408 | n_decoded =   5993, tg =  68.71 t/s, tg_3s =  67.50 t/s
16.28.658.401 I slot print_timing: id  3 | task 34408 | n_decoded =   6196, tg =  68.67 t/s, tg_3s =  67.53 t/s
16.31.672.369 I slot print_timing: id  3 | task 34408 | n_decoded =   6399, tg =  68.63 t/s, tg_3s =  67.35 t/s
16.34.680.631 I slot print_timing: id  3 | task 34408 | n_decoded =   6601, tg =  68.58 t/s, tg_3s =  67.15 t/s
16.37.683.906 I slot print_timing: id  3 | task 34408 | n_decoded =   6803, tg =  68.54 t/s, tg_3s =  67.26 t/s
16.40.695.059 I slot print_timing: id  3 | task 34408 | n_decoded =   7004, tg =  68.49 t/s, tg_3s =  66.75 t/s
16.43.701.142 I slot print_timing: id  3 | task 34408 | n_decoded =   7205, tg =  68.44 t/s, tg_3s =  66.86 t/s
16.46.711.075 I slot print_timing: id  3 | task 34408 | n_decoded =   7406, tg =  68.40 t/s, tg_3s =  66.78 t/s
16.49.714.003 I slot print_timing: id  3 | task 34408 | n_decoded =   7606, tg =  68.35 t/s, tg_3s =  66.60 t/s
16.52.724.202 I slot print_timing: id  3 | task 34408 | n_decoded =   7806, tg =  68.30 t/s, tg_3s =  66.44 t/s
16.55.725.060 I slot print_timing: id  3 | task 34408 | n_decoded =   8005, tg =  68.25 t/s, tg_3s =  66.31 t/s
16.58.732.929 I slot print_timing: id  3 | task 34408 | n_decoded =   8205, tg =  68.20 t/s, tg_3s =  66.49 t/s
17.01.743.818 I slot print_timing: id  3 | task 34408 | n_decoded =   8405, tg =  68.16 t/s, tg_3s =  66.43 t/s
17.04.756.410 I slot print_timing: id  3 | task 34408 | n_decoded =   8605, tg =  68.12 t/s, tg_3s =  66.39 t/s
17.07.760.656 I slot print_timing: id  3 | task 34408 | n_decoded =   8804, tg =  68.07 t/s, tg_3s =  66.24 t/s
17.10.771.200 I slot print_timing: id  3 | task 34408 | n_decoded =   9003, tg =  68.03 t/s, tg_3s =  66.10 t/s
17.13.783.160 I slot print_timing: id  3 | task 34408 | n_decoded =   9202, tg =  67.99 t/s, tg_3s =  66.07 t/s
17.16.795.189 I slot print_timing: id  3 | task 34408 | n_decoded =   9401, tg =  67.94 t/s, tg_3s =  66.07 t/s
17.19.798.121 I slot print_timing: id  3 | task 34408 | n_decoded =   9600, tg =  67.91 t/s, tg_3s =  66.27 t/s
17.22.804.184 I slot print_timing: id  3 | task 34408 | n_decoded =   9798, tg =  67.87 t/s, tg_3s =  65.87 t/s
17.25.817.239 I slot print_timing: id  3 | task 34408 | n_decoded =   9996, tg =  67.82 t/s, tg_3s =  65.71 t/s
17.28.828.666 I slot print_timing: id  3 | task 34408 | n_decoded =  10194, tg =  67.78 t/s, tg_3s =  65.75 t/s
17.31.838.069 I slot print_timing: id  3 | task 34408 | n_decoded =  10392, tg =  67.74 t/s, tg_3s =  65.79 t/s
17.34.841.689 I slot print_timing: id  3 | task 34408 | n_decoded =  10589, tg =  67.70 t/s, tg_3s =  65.59 t/s
17.37.850.611 I slot print_timing: id  3 | task 34408 | n_decoded =  10786, tg =  67.66 t/s, tg_3s =  65.47 t/s
17.40.858.830 I slot print_timing: id  3 | task 34408 | n_decoded =  10983, tg =  67.62 t/s, tg_3s =  65.49 t/s
17.43.872.130 I slot print_timing: id  3 | task 34408 | n_decoded =  11180, tg =  67.58 t/s, tg_3s =  65.38 t/s
17.46.886.879 I slot print_timing: id  3 | task 34408 | n_decoded =  11376, tg =  67.53 t/s, tg_3s =  65.01 t/s
17.49.891.912 I slot print_timing: id  3 | task 34408 | n_decoded =  11572, tg =  67.49 t/s, tg_3s =  65.22 t/s
17.52.906.512 I slot print_timing: id  3 | task 34408 | n_decoded =  11768, tg =  67.45 t/s, tg_3s =  65.02 t/s
17.55.914.587 I slot print_timing: id  3 | task 34408 | n_decoded =  11964, tg =  67.41 t/s, tg_3s =  65.16 t/s
17.58.927.006 I slot print_timing: id  3 | task 34408 | n_decoded =  12160, tg =  67.37 t/s, tg_3s =  65.06 t/s
18.01.937.078 I slot print_timing: id  3 | task 34408 | n_decoded =  12355, tg =  67.33 t/s, tg_3s =  64.78 t/s
18.04.942.584 I slot print_timing: id  3 | task 34408 | n_decoded =  12548, tg =  67.28 t/s, tg_3s =  64.22 t/s
18.07.951.531 I slot print_timing: id  3 | task 34408 | n_decoded =  12742, tg =  67.23 t/s, tg_3s =  64.47 t/s
18.10.958.615 I slot print_timing: id  3 | task 34408 | n_decoded =  12936, tg =  67.19 t/s, tg_3s =  64.51 t/s
18.13.961.161 I slot print_timing: id  3 | task 34408 | n_decoded =  13129, tg =  67.15 t/s, tg_3s =  64.28 t/s
18.14.474.167 I slot print_timing: id  3 | task 34408 | prompt eval time =    1967.89 ms /  3254 tokens (    0.60 ms per token,  1653.54 tokens per second)
18.14.474.169 I slot print_timing: id  3 | task 34408 |        eval time =  196042.92 ms / 13162 tokens (   14.89 ms per token,    67.14 tokens per second)
18.14.474.170 I slot print_timing: id  3 | task 34408 |       total time =  198010.81 ms / 16416 tokens
18.14.474.171 I slot print_timing: id  3 | task 34408 |    graphs reused =      47194
18.14.474.670 I slot      release: id  3 | task 34408 | stop processing: n_tokens = 37309, truncated = 0
18.14.543.227 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.990 (> 0.100 thold), f_keep = 0.647
18.14.543.550 I slot launch_slot_: id  3 | task 47575 | processing task, is_child = 0
18.17.901.993 I slot print_timing: id  3 | task 47575 | n_decoded =    210, tg =  69.68 t/s, tg_3s =  69.68 t/s
18.20.906.390 I slot print_timing: id  3 | task 47575 | n_decoded =    415, tg =  68.96 t/s, tg_3s =  68.23 t/s
18.23.912.492 I slot print_timing: id  3 | task 47575 | n_decoded =    615, tg =  68.15 t/s, tg_3s =  66.53 t/s
18.26.919.458 I slot print_timing: id  3 | task 47575 | n_decoded =    816, tg =  67.82 t/s, tg_3s =  66.84 t/s
18.29.728.370 I slot print_timing: id  3 | task 47575 | prompt eval time =     344.23 ms /   395 tokens (    0.87 ms per token,  1147.50 tokens per second)
